target	ref_from	ref_type	function_entry	function_name
1407c779c	1401288b7	READ	1401253e0	stage_08_gameplay_update_candidate
1407c779c	140128d6b	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	140129216	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	140129870	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	140129d13	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	14012a40e	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	14012a932	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	14012b1e5	READ	140128940	stage_09_gameplay_update_candidate
1407c779c	14012b43f	READ	14012b260	stage_10_gameplay_update_candidate
1407c779c	140015309	READ	140014bf0	FUN_140014bf0
1407c779c	140016a3d	READ	140014bf0	FUN_140014bf0
1407c779c	140017128	READ	140014bf0	FUN_140014bf0
1407c779c	14001ffa8	READ	14001c8b0	FUN_14001c8b0
1407c779c	14000b325	READ	140009480	FUN_140009480
1407c779c	14000bc14	READ	140009480	FUN_140009480
1407c779c	14000c3df	READ	140009480	FUN_140009480
1407c779c	14002bcda	READ	14002b680	FUN_14002b680
1407c779c	1400f0d4a	READ	1400ef010	FUN_1400ef010
1407c779c	140006361	READ	140004660	FUN_140004660
1407c779c	140006ca9	READ	140004660	FUN_140004660
1407c779c	140024e90	READ	140023260	FUN_140023260
1407c779c	14000f020	READ	14000ed10	FUN_14000ed10
1407c779c	1400111f7	READ	14000ed10	FUN_14000ed10
1407c779c	140038bed	READ	140038190	FUN_140038190
1407c779c	14003a0b3	READ	140038190	FUN_140038190
